时间,city,数值
2014-02-16,金华市,0.09994898570908439
2014-02-17,丽水市,0.3573209175633059
2014-02-17,台州市,0.9288022087679969
2014-02-17,嘉兴市 ,0.0
2014-02-17,宁波市,0.0
2014-02-17,杭州市,0.0
2014-02-17,温州市,0.19703798443079
2014-02-17,湖州市,0.0
2014-02-17,绍兴市,0.0
2014-02-17,舟山市,0.0
2014-02-17,衢州市,0.007365460197130838
2014-02-17,金华市,0.004779997385210461
2014-02-18,丽水市,0.0
2014-02-18,台州市,0.0
2014-02-18,嘉兴市 ,0.0
2014-02-18,宁波市,1.426412582397461
2014-02-18,杭州市,0.0
2014-02-18,温州市,0.0
2014-02-18,湖州市,0.0
2014-02-18,绍兴市,0.5118358731269838
2014-02-18,舟山市,0.0
2014-02-18,衢州市,0.1103192176669836
2014-02-18,金华市,0.0
2014-02-19,丽水市,0.694462535281976
2014-02-19,台州市,15.001889932486746
2014-02-19,嘉兴市 ,24.138787133353098
2014-02-19,宁波市,25.477878999710082
2014-02-19,杭州市,50.682887852191925
2014-02-19,温州市,20.150665736198427
2014-02-19,湖州市,11.606185531616209
2014-02-19,绍兴市,17.912268459796906
2014-02-19,舟山市,26.61409496422857
2014-02-19,衢州市,0.9169604827960334
2014-02-19,金华市,1.852787204242001
2014-02-20,丽水市,3.6536177926593356
2014-02-20,台州市,18.86566056145562
2014-02-20,嘉兴市 ,25.58838312966483
2014-02-20,宁波市,37.21063199043274
2014-02-20,杭州市,47.95921857357026
2014-02-20,温州市,19.42954182624817
2014-02-20,湖州市,12.786343002319336
2014-02-20,绍兴市,20.890949964523315
2014-02-20,舟山市,26.884446496143934
2014-02-20,衢州市,4.878808259963989
2014-02-20,金华市,13.176822847790188
2014-02-21,丽水市,3.5083248880174427
2014-02-21,台州市,18.445176707373726
2014-02-21,嘉兴市 ,13.685308481965746
2014-02-21,宁波市,40.24757421016693
2014-02-21,杭州市,38.683253933861856
2014-02-21,温州市,21.642226672172548
2014-02-21,湖州市,0.04382989704608918
2014-02-21,绍兴市,9.116087555885315
2014-02-21,舟山市,4.439444173127413
2014-02-21,衢州市,4.979726751645406
2014-02-21,金华市,11.099952141443886
2014-02-22,丽水市,2.507810182041592
2014-02-22,台州市,8.392708116107517
2014-02-22,嘉兴市 ,8.257262885570526
2014-02-22,宁波市,36.84407749176025
2014-02-22,杭州市,1.2932969111949204
2014-02-22,温州市,7.707050113379955
2014-02-22,湖州市,3.693953108787537
2014-02-22,绍兴市,4.135051921010017
2014-02-22,舟山市,13.547072226181626
2014-02-22,衢州市,1.906779557466507
2014-02-22,金华市,2.9345448265473046
2014-02-23,丽水市,0.0005371393635869027
2014-02-23,台州市,6.250282221370274
2014-02-23,嘉兴市 ,1.2596879420535905
2014-02-23,宁波市,38.50110297203064
2014-02-23,杭州市,0.0
2014-02-23,温州市,18.52340607707738
2014-02-23,湖州市,0.0
2014-02-23,绍兴市,11.209112927317618
2014-02-23,舟山市,6.5258426964283
2014-02-23,衢州市,0.0
2014-02-23,金华市,0.0665190319220225
2014-02-24,丽水市,0.0
2014-02-24,台州市,0.0
2014-02-24,嘉兴市 ,0.0
2014-02-24,宁波市,0.0
2014-02-24,杭州市,0.0
2014-02-24,温州市,0.0
2014-02-24,湖州市,0.0
2014-02-24,绍兴市,0.0
2014-02-24,舟山市,0.0
2014-02-24,衢州市,0.0
2014-02-24,金华市,0.0
2014-02-25,丽水市,0.00044530433499150816
2014-02-25,台州市,0.0
2014-02-25,嘉兴市 ,0.000541565108246037
2014-02-25,宁波市,0.0406011700630188
2014-02-25,杭州市,1.1749387733172625
2014-02-25,温州市,0.0
2014-02-25,湖州市,0.056904669106006625
2014-02-25,绍兴市,0.2820761986076832
2014-02-25,舟山市,0.0
2014-02-25,衢州市,0.0018910479654247563
2014-02-25,金华市,0.0005423468020227221
2014-02-26,丽水市,0.026682049967348576
2014-02-26,台州市,7.573664632108477
2014-02-26,嘉兴市 ,0.8981490193733147
2014-02-26,宁波市,2.615254575014114
2014-02-26,杭州市,5.781945437006653
2014-02-26,温州市,3.294869713485241
2014-02-26,湖州市,0.5837128192186356
2014-02-26,绍兴市,0.2450690094847232
2014-02-26,舟山市,9.710414469242096
2014-02-26,衢州市,0.007616565252343812
2014-02-26,金华市,4.8009005025960505
2014-02-27,丽水市,0.020471524791598007
2014-02-27,台州市,0.99592000051214
2014-02-27,嘉兴市 ,0.7610625794955662
2014-02-27,宁波市,3.699108150973916
2014-02-27,杭州市,0.1243250846862793
2014-02-27,温州市,1.8048393927514552
2014-02-27,湖州市,0.0
2014-02-27,绍兴市,0.6249037347733976
